Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Wheelbarrow,3,3,Well,5,1,26,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Wheelbarrow,3,3,Harp,5,2,27,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Wheelbarrow,3,3,Bookshelf,5,4,4,"(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Wheelbarrow,3,3,Trashcan,6,4,5,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Wheelbarrow,3,3,Piano,5,6,8,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Wheelbarrow,3,3,Stove,0,6,13,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Wheelbarrow,3,3,Table,1,5,14,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Wheelbarrow,3,3,Telescope,0,3,17,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Wheelbarrow,3,3,Plant,0,1,19,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Wheelbarrow,3,3,Mailbox,1,0,21,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Wheelbarrow,3,3,Chair,4,0,24,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Bookshelf,5,4,Well,5,1,23,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Bookshelf,5,4,Harp,5,2,24,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Bookshelf,5,4,Wheelbarrow,3,3,27,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Bookshelf,5,4,Trashcan,6,4,2,"(5, 4)->(6, 4)"
Bookshelf,5,4,Piano,5,6,5,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Bookshelf,5,4,Stove,0,6,10,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Bookshelf,5,4,Table,1,5,11,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Bookshelf,5,4,Telescope,0,3,14,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Bookshelf,5,4,Plant,0,1,16,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Bookshelf,5,4,Mailbox,1,0,18,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Bookshelf,5,4,Chair,4,0,21,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Trashcan,6,4,Well,5,1,22,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Trashcan,6,4,Harp,5,2,23,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Trashcan,6,4,Wheelbarrow,3,3,26,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Trashcan,6,4,Bookshelf,5,4,29,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Trashcan,6,4,Piano,5,6,4,"(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Trashcan,6,4,Stove,0,6,9,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Trashcan,6,4,Table,1,5,10,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Trashcan,6,4,Telescope,0,3,13,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Trashcan,6,4,Plant,0,1,15,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Trashcan,6,4,Mailbox,1,0,17,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Trashcan,6,4,Chair,4,0,20,"(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Piano,5,6,Well,5,1,19,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Piano,5,6,Harp,5,2,20,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Piano,5,6,Wheelbarrow,3,3,23,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Piano,5,6,Bookshelf,5,4,26,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Piano,5,6,Trashcan,6,4,27,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Piano,5,6,Stove,0,6,6,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Piano,5,6,Table,1,5,7,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Piano,5,6,Telescope,0,3,10,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Piano,5,6,Plant,0,1,12,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Piano,5,6,Mailbox,1,0,14,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Piano,5,6,Chair,4,0,17,"(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Stove,0,6,Well,5,1,15,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Stove,0,6,Harp,5,2,16,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Stove,0,6,Wheelbarrow,3,3,19,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Stove,0,6,Bookshelf,5,4,22,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Stove,0,6,Trashcan,6,4,23,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Stove,0,6,Piano,5,6,26,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Stove,0,6,Table,1,5,3,"(0, 6)->(1, 6)->(1, 5)"
Stove,0,6,Telescope,0,3,6,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Stove,0,6,Plant,0,1,8,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Stove,0,6,Mailbox,1,0,10,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Stove,0,6,Chair,4,0,13,"(0, 6)->(1, 6)->(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Table,1,5,Well,5,1,13,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Table,1,5,Harp,5,2,14,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Table,1,5,Wheelbarrow,3,3,17,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Table,1,5,Bookshelf,5,4,20,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Table,1,5,Trashcan,6,4,21,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Table,1,5,Piano,5,6,24,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Table,1,5,Stove,0,6,29,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Table,1,5,Telescope,0,3,4,"(1, 5)->(1, 4)->(0, 4)->(0, 3)"
Table,1,5,Plant,0,1,6,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)"
Table,1,5,Mailbox,1,0,8,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Table,1,5,Chair,4,0,11,"(1, 5)->(1, 4)->(0, 4)->(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Telescope,0,3,Well,5,1,10,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Telescope,0,3,Harp,5,2,11,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Telescope,0,3,Wheelbarrow,3,3,14,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Telescope,0,3,Bookshelf,5,4,17,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Telescope,0,3,Trashcan,6,4,18,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Telescope,0,3,Piano,5,6,21,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Telescope,0,3,Stove,0,6,26,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Telescope,0,3,Table,1,5,27,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)->(4, 6)->(3, 6)->(2, 6)->(1, 6)->(0, 6)->(1, 5)"
Telescope,0,3,Plant,0,1,3,"(0, 3)->(0, 2)->(0, 1)"
Telescope,0,3,Mailbox,1,0,5,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)"
Telescope,0,3,Chair,4,0,8,"(0, 3)->(0, 2)->(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)"
Plant,0,1,Well,5,1,8,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)"
Plant,0,1,Harp,5,2,9,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)"
Plant,0,1,Wheelbarrow,3,3,12,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)"
Plant,0,1,Bookshelf,5,4,15,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Plant,0,1,Trashcan,6,4,16,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Plant,0,1,Piano,5,6,19,"(0, 1)->(0, 0)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(5, 1)->(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
